model,fund_id,observations,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,final_growth_of_1,delta_annualised_return_vs_base,delta_annualised_volatility_vs_base,delta_sharpe_ratio_vs_base,delta_max_drawdown_vs_base,delta_final_growth_of_1_vs_base
Base,Equity - Minimum Variance,753,0.07035519907599208,0.12787231774184016,0.5501988258164783,-0.18303579969007622,1.2252712573427498,0.0,0.0,0.0,0.0,0.0
Sentiment Tilt,Equity - Minimum Variance Sentiment Tilt,753,0.06160537067138705,0.12787192205696762,0.48177402576260275,-0.17927162713522937,1.1955843905135728,-0.008749828404605031,-3.9568487253394125e-07,-0.06842480005387552,0.003764172554846845,-0.029686866829176983
